Sprite Room,Monster Room,Same Room,Distance To Char,Distance To Room Center,Killed,Action Choice
5,5,1,80.6443,120.8,0,1
0,5,0,319.821,340.884,0,1
0,5,0,438.749,392.303,0,1
1,5,0,215.368,296.17,0,1
0,5,0,283.23,380.758,0,1
0,5,0,252.481,316.983,0,1
2,5,0,177.947,257.297,0,1
0,5,0,363.223,327.575,0,1
0,5,0,489.194,437.466,0,1
0,5,0,267.04,374.091,0,1
0,5,0,386.998,327.759,0,1
0,5,0,264.529,328.294,0,1
0,5,0,277.211,315.074,0,1
0,5,0,260.225,306.644,0,1
0,5,0,394.851,393.796,0,1
0,5,0,333.106,387.478,0,1
